"movie","scene","character","dialog"
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","Draco","It's true then, what they're saying on the train. Harry Potter has come to Hogwarts.  This is Crabbe and Goyle. And I'm Malfoy...Draco Malfoy.  Think my name's funny, do you? No need to ask yours. Red hair, and a hand-me-down robe? You must be a Weasley. Well, soon find that some wizarding families are better than others, Potter. Don’t want to go making friends with the wrong sort. I can help you there."
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","Harry","I think I can tell who the wrong sort are for myself, thanks."
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","McGonagall","We're ready for you now. Follow me."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Hermione","It's not real, the ceiling. It's just bewitched to look like the night sky. I read about it in Hogwarts: A History."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","McGonagall","Will you wait along here, please? Now, before we begin, Professor Dumbledore would like to say a few words."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Dumbledore","I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch  has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","McGonagall","When I call your name, you will come forth, I shall place the sorting hat on your head, and you will be sorted into your houses. Hermione Granger."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Hermione","Oh, no. Okay, relax."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Ron","Mental that one, I'm telling you."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Sorting Hat","Ah, right then...hmm...right. Okay...Gryffindor!!"
"Harry Potter and the Philosopher's Stone","The Sorting Hat","McGonagall","Draco Malfoy."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Sorting Hat","SLYTHERIN!"
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Ron","There isn't a witch or wizard who went bad who wasn’t in Slytherin."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","McGonagall","Susan Bones."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Harry","Ahh!"
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Ron","Harry, what is it?"
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Harry","Nothing... nothing, I'm fine."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Sorting Hat","Let's see...I know...Hufflepuff!"
"Harry Potter and the Philosopher's Stone","The Sorting Hat","McGonagall","Ronald Weasley."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Sorting Hat","Ha! Another Weasley. I know just what to do with you... Gryffindor!!"
"Harry Potter and the Philosopher's Stone","The Sorting Hat","McGonagall","Harry Potter."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Sorting Hat","Hmm...difficult, very difficult. Plenty of courage I see, not a bad mind, either. There's talent, oh yes, and a thirst to prove yourself. But where to put you?"
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Harry","Not Slytherin. Not Slytherin."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Sorting Hat","Not Slytherin, eh? Are you sure? You could be great, you know. It’s all here in your head. And Slytherin will help you on the way to greatness! There's no doubt about that. No?"
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Harry","Not Slytherin...anything but Slytherin."
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Sorting Hat","Well, if you're sure... better be... GRYFFINDOR!!"
"Harry Potter and the Philosopher's Stone","The Sorting Hat","Fred and George","We got Potter! We got Potter!"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","McGonagall","Your attention, please."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Dumbledore","Let the feast...begin."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Harry","Wow."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Seamus","I'm half and half. Me dad's a Muggle. Mam's a witch. Bit of a nasty shock for him when he found out."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Harry","Say, Percy, who's that teacher talking to Professor Quirrell?"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Percy","Oh, that's Professor Snape, head of Slytherin house."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Harry","What's he teach?"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Percy","Potions. But everyone knows it's the Dark Arts he fancies. He's been after Quirrell’s job for years."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Ron","Ahh!"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Nick","Hello! How are you? Welcome to Gryffindor."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Bloody Baron","Whoo-hoo-hoo!"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Girl","Look, it’s the Bloody Baron!"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Percy","Hello, Sir Nicholas. Have a nice summer?"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Nick","Dismal. Once again, my request to join the headless hunt has been denied."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Ron","I know you! You're Nearly Headless Nick!"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Nick","I prefer Sir Nicholas if you don't mind."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Hermione","Nearly headless? How can you be nearly headless?"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Nick","Like this."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Ron","Ahh!"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Percy","Gryffindors, follow me, please. Keep up. Thank you."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Boy","Ravenclaws, follow me. This way."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Percy","This is the most direct path to the dormitories. Oh, and keep an eye on the staircases...they like to change."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Percy","Keep up, please, and follow me. Quickly now, come on. Come on."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Neville","Seamus, that picture's moving!"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Ron","Look at that one, Harry!"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Harry","I think she fancies you."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Girl","Oh, look! Look! Who's that girl?"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Man in a painting","Welcome to Hogwarts."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Girl","Who's that?"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","The Fat Lady","Password?"
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Percy","Caput Draconis.  Follow me, everyone. Keep up, quickly, come on."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Girl","Oh, wow."
"Harry Potter and the Philosopher's Stone","Nick and Other Residents","Percy","Gather 'round here. Welcome to the Gryffindor Common Room. Boy's dormitories, upstairs and down to your left. Girls, the same on your right. You'll find that your belongings have already been brought up."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Ron","Whew, we made it. Can you imagine the look on McGonagall's face if we were late?"
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Ron","That was bloody brilliant."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","McGonagall","Thank you for that assessment, Mr. Weasley. Perhaps if I were to transfigure Mr. Potter and yourself into a pocketwatch, that way one of you might be on time."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Harry","We got lost."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","McGonagall","Then perhaps a map? I trust you don't need one to find your seats."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Snape","There will be no foolish wand waving or silly incantations in this class. As such, I don't expect many of you to appreciate the subtle science and exact art that is potion making. However, for those select few...  who possess the predisposition, I can teach you how to bewitch the mind and ensnare the senses. I can tell you how to bottle fame, brew glory and even put a stopper...  in death.  Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confidant enough to not...pay...attention.  Mr. Potter. Our...new...celebrity. Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?  You don't know? Well, let's try again. Where, Mr. Potter, would you look if I asked you to find me a bezoar?"
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Harry","I don't know, sir."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Snape","And what is the difference between monkshood and wolfbane?"
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Harry","I don't know, sir."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Snape","Pity. Clearly, fame isn't everything...  is it, Mr. Potter?"
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Harry","Clearly, Hermione knows. Since it's a pity not to ask her."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Snape","Silence.  And put her hand down, you silly girl.  For your information, Potter... asphodel and wormwood make a sleeping potion so powerful, it is known as the Draught of Living Death. A bezoar is a stone taken from the stomach of a goat and it will save you from most poisons. As for monkshood and wolfsbane, they are the same plant, which also goes by the name of aconite.  Well?  Why aren't you all copying this down?  And Gryffindors, note that five points, will be taken from your house... for your classmate's cheek."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Seamus","Eye of rabbit, harp string hum. Turn this water, into rum.  Eye of rabbit, harp string hum..."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Harry","What's Seamus trying to do to that glass of water?"
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Ron","Turn it into rum. Actually managed a weak tea yesterday, before-"
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Ron","Ah. Mail's here!"
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Harry","Can I borrow this?  Thanks."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Seamus","Hey, look! Neville's got a Remembrall!"
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Hermione","I've read about those. When the smoke turns red,  it means you've forgotten something."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Neville","The only problem is, I can't remember what I've forgotten."
"Harry Potter and the Philosopher's Stone","Potions and Parcels","Harry","Hey, Ron, somebody broke into Gringotts, listen.  Believed to be the work of dark witches or wizards unknown, Gringotts goblins, while acknowledging the breach, insist that nothing was taken. The vault in question, number 713, had in fact been emptied earlier that same day. That's odd. That's the vault Hagrid and I went to."
"Harry Potter and the Philosopher's Stone","New Seeker","Hooch","Good afternoon, class."
"Harry Potter and the Philosopher's Stone","New Seeker","Class","Good afternoon, Madam Hooch."
"Harry Potter and the Philosopher's Stone","New Seeker","Hooch","Good afternoon, Amanda, good afternoon.  Welcome to your first flying lesson. Well, what are you waiting for? Everyone step up to the left side of their broomstick. Come on now, hurry up. Stick your right hand over the broom and say, up!"
"Harry Potter and the Philosopher's Stone","New Seeker","Class","Up!"
"Harry Potter and the Philosopher's Stone","New Seeker","Harry","Wow."
"Harry Potter and the Philosopher's Stone","New Seeker","Draco","Up!"
"Harry Potter and the Philosopher's Stone","New Seeker","Hooch","With feeling!"
"Harry Potter and the Philosopher's Stone","New Seeker","Hermione","Up. Up. Up. Up."
"Harry Potter and the Philosopher's Stone","New Seeker","Ron","Up!!  Ooh!  Shut up, Harry."
"Harry Potter and the Philosopher's Stone","New Seeker","Hooch","Now, once you've got hold of your broom, I want you to mount it. And grip it tight, you don't want to be sliding off the end.  When I blow my whistle, I want each of you to kick off from the ground, hard. Keep your broom steady, hover for a moment, and then lean forward slightly and touch back down. On my whistle...3...2..."
"Harry Potter and the Philosopher's Stone","New Seeker","Neville","Oh..."
"Harry Potter and the Philosopher's Stone","New Seeker","Hooch","Mr. Longbottom."
"Harry Potter and the Philosopher's Stone","New Seeker","Girl","Neville, what are you doing?"
"Harry Potter and the Philosopher's Stone","New Seeker","Students","Neville...Neville..."
"Harry Potter and the Philosopher's Stone","New Seeker","Boy","We're not supposed to take off, yet."
"Harry Potter and the Philosopher's Stone","New Seeker","Hooch","M-M-Mr. Longbottom! Mr. Longbottom!"
"Harry Potter and the Philosopher's Stone","New Seeker","Neville","AHH!"
"Harry Potter and the Philosopher's Stone","New Seeker","Hooch","Mr. Longbottom!"
"Harry Potter and the Philosopher's Stone","New Seeker","Neville","Down! Down! Ahhhh!"
"Harry Potter and the Philosopher's Stone","New Seeker","Harry","Neville!"
"Harry Potter and the Philosopher's Stone","New Seeker","Neville","Help!!!"
"Harry Potter and the Philosopher's Stone","New Seeker","Hooch","Come back down this instant!"
"Harry Potter and the Philosopher's Stone","New Seeker","Neville","AHH!"
"Harry Potter and the Philosopher's Stone","New Seeker","Neville","Help!"
"Harry Potter and the Philosopher's Stone","New Seeker","Hooch","Mr. Longbottom-!"
"Harry Potter and the Philosopher's Stone","New Seeker","Neville","Ahhhh! Whoa! Ahhh!  Oh. Ah...help!  Ahh!"
"Harry Potter and the Philosopher's Stone","New Seeker","Hooch","Everyone out of the way!  Come on, get up."
"Harry Potter and the Philosopher's Stone","New Seeker","Girl","Is he alright?"
"Harry Potter and the Philosopher's Stone","New Seeker","Neville","Owowowow."
"Harry Potter and the Philosopher's Stone","New Seeker","Hooch","Oh, oh, oh, oh dear. It's a broken wrist. Tch, tch, tch. Good boy, come on now, up you get.  Everyone's to keep their feet firmly on the ground while I take Mr. Longbottom to the hospital wing. Understand? If I see a single broom in the air, the one riding it will find themselves out of Hogwarts before they can say, Quidditch."
"Harry Potter and the Philosopher's Stone","New Seeker","Draco","Did you see his face? Maybe if the fat lump had given this a squeeze, he'd have remembered to fall on his fat arse."
"Harry Potter and the Philosopher's Stone","New Seeker","Harry","Give it here, Malfoy."
"Harry Potter and the Philosopher's Stone","New Seeker","Draco","No. I think I'll leave it somewhere for Longbottom to find.  How 'bout up on the roof?  What's the matter, Potter? Bit beyond your reach?"
"Harry Potter and the Philosopher's Stone","New Seeker","Hermione","Harry, no way! You heard what Madam Hooch said! Besides, you don't even know how to fly.  What an idiot."
"Harry Potter and the Philosopher's Stone","New Seeker","Harry","Give it here, Malfoy, or I'll knock you off your broom!"
"Harry Potter and the Philosopher's Stone","New Seeker","Draco","Is that so?  Have it your way, then!"
"Harry Potter and the Philosopher's Stone","New Seeker","Boy","Good job, Harry!"
"Harry Potter and the Philosopher's Stone","New Seeker","Boy 2","Oh, that was wicked, Harry."
"Harry Potter and the Philosopher's Stone","New Seeker","McGonagall","Harry Potter?  Follow me."
"Harry Potter and the Philosopher's Stone","New Seeker","Quirrell","An iguana s-such as this is..."
"Harry Potter and the Philosopher's Stone","New Seeker","McGonagall","You wait here."
"Harry Potter and the Philosopher's Stone","New Seeker","Quirrell","... an essential in-gredient."
"Harry Potter and the Philosopher's Stone","New Seeker","McGonagall","Professor Quirrell, excuse me, excuse me. Could I borrow Wood for a moment, please?"
"Harry Potter and the Philosopher's Stone","New Seeker","Quirrell","Oh. Y-yes, of course.  And the vampire b-bat..."
"Harry Potter and the Philosopher's Stone","New Seeker","McGonagall","Potter, this is Oliver Wood. Wood, I have found you a Seeker!"
"Harry Potter and the Philosopher's Stone","New Seeker","Nick","Have you heard? Harry Potter's the new Gryffindor Seeker. I always knew he'd do well."
"Harry Potter and the Philosopher's Stone","New Seeker","Ron","Seeker? But first years never make their house teams! You must be the youngest Quidditch player in..."
"Harry Potter and the Philosopher's Stone","New Seeker","Harry","A century, according to McGonagall."
"Harry Potter and the Philosopher's Stone","New Seeker","Fred","Hey, well done, Harry, Wood's just told us!"
"Harry Potter and the Philosopher's Stone","New Seeker","Ron","Fred and George are on the team, too. Beaters."
"Harry Potter and the Philosopher's Stone","New Seeker","George","Our job is to make sure that you don't get bloodied up too bad. Can't make any promises, of course. Rough game, Quidditch."
"Harry Potter and the Philosopher's Stone","New Seeker","Fred","Brutal. But no one's died in years. Someone will vanish occasionally..."
"Harry Potter and the Philosopher's Stone","New Seeker","George","But they'll turn up in a month or two!"
"Harry Potter and the Philosopher's Stone","New Seeker","Ron","Oh, go on, Harry, Quidditch is great. Best game there is! And you'll be great, too!"
"Harry Potter and the Philosopher's Stone","New Seeker","Harry","But I've never even played Quidditch. What if I make a fool of myself?"
"Harry Potter and the Philosopher's Stone","New Seeker","Hermione","You won't make a fool of yourself. It's in your blood."
"Harry Potter and the Philosopher's Stone","New Seeker","Ron","Whoa. Harry, you never told me your father was a Seeker, too."
"Harry Potter and the Philosopher's Stone","New Seeker","Harry","I-I didn't know."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Ron","I'm telling you, it's spooky. She knows more about you than you do."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Harry","Who doesn't?"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Ron","Ahh!"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Harry","What's happening?"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Hermione","The staircases change, remember?"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Harry","Let's go this way."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Ron","Before the staircase moves again."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Harry","Does anyone feel like...we shouldn't be here?"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Hermione","We're not supposed to be here. This is the 3rd floor. It's forbidden."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Harry","Let's go."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Ron","It's Filch's cat!"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Harry","Run!"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Harry","Quick! Let’s hide though that door!"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Harry","It's locked!"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Ron","That's it, we're done for!"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Hermione","Oh, move over!  Alohomora.  Get in."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Ron","Alohomora?"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Hermione","Standard book of spells, Chapter 7."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Filch","Anyone here, my sweet?  Come on."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Hermione","Filch is gone."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Ron","Probably thinks this door's locked."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Hermione","It was locked."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Harry","And for good reason."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","All","AHHHHHHH!"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Ron","What do they think they're doing?? Keeping a thing like that locked up in a school."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Hermione","You don't use your eyes, do you? Didn't you see what it was standing on?"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Ron","I wasn't looking at its feet! I was a bit preoccupied with its heads. Or maybe you didn't notice, there were three!"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Hermione","It was standing on a trap door. Which means it wasn't there by accident. It's guarding something."
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Harry","Guarding something?"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Hermione","That's right. Now, if you two don't mind, I'm going to bed before either of you come up with another clever idea to get us killed... or worse, expelled!"
"Harry Potter and the Philosopher's Stone","Three-Headed Sentinel","Ron","She needs to sort out her priorities!"
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Oliver","Quidditch is easy enough to understand. Each time has seven players, 3 chasers, 2 beaters, 1 keeper and a seeker. That's you. There are three kinds of balls.  This one's called the Quaffle. Now, the chasers handle the Quaffle and try to put it through one of those three hoops.  The keeper, that's me, defends the hoops.  With me so far?"
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Harry","I think so. What are those?"
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Oliver","You better take this.  Careful now, it's comin' back.  Eh, not bad, Potter, you'd make a fair beater... Uh-oh."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Harry","What is that?"
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Oliver","Bludger. Nasty little buggers. But you are the seeker, and the only thing I want you to worry about is this... the Golden Snitch."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Harry","I like this ball."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Oliver","Ah, you like it now. Just wait. It's wicked fast and damn near impossible to see."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Harry","What do I do with it?"
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Oliver","You catch it... before the other team's seeker. You catch this, the game is over. You catch this, Potter, and we win."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Harry","Whoa."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Flitwick","One of a wizard's most rudimentary skills is levitation the ability to make objects fly. Uh, do you all have your feathers?  Good. Now, uh, don't forget the nice wrist movement we've been practicing, hmm? The swish and flick. Everyone."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","All","The swish and flick."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Flitwick","Good. And enunciate. Wingardium Leviosa. Off you go then."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Draco","Wingardium Levio-saaa."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Ron","Wingardrium Leviosar!"
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Hermione","Stop, stop, stop. You're going to take someone's eye out. Besides, you're saying it wrong. It's Levi-o-sa, not Leviosar."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Ron","You do it then if you're so clever. Go on, go on."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Hermione","Wingardium Leviosa."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Flitwick","Oh, well done! See here, everyone! Ms. Granger's done it! Oh, splendid!"
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Seamus","Wingard Levosa."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Flitwick","Well done, dear."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Flitwick","Whooaaa! Ooh."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Harry","I think we're going to need another feather over here, Professor."
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Ron","It's Levioooosa, not Leviosaaaar.  She's a nightmare, honestly. No wonder she hasn't got any friends!"
"Harry Potter and the Philosopher's Stone","Facts and Feathers","Harry","I think she heard you."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","Where's Hermione?"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Neville","Parvati Patil said that she wouldn't come out of the girl's bathroom. She said that she'd been in there all afternoon...crying."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Quirrell","TROLL! IN THE DUNGEON! T-TROOLLL IN THE DUNGEON!!  Thought you ought to know."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Dumbledore","SILLLLLEEENNNNCEEEEE!  Everyone will please, not panic. Now, Prefects will lead their houses back to the dormitories. Teachers will follow me to the dungeons."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Girl","Hufflepuff, this way!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Boy","Stay together!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Percy","Gryffindors, keep up please. And stay alert!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","How could a troll get in?"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Ron","Not by itself. Trolls are really stupid. Probably people playing jokes.  What?"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","Hermione! She doesn't know!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Ron","I think the troll's left the dungeon!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","It’s going into the Girl's Bathroom!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","Hermione, move!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Hermione","Help! Help!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Ron","Hey, pea brain!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Hermione","Ahhh! Help!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","Whooa! Whoa, whoa!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Ron","Ew."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","Whoa, whoa whoa!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","Do something!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Ron","What?"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","Anything! Hurry up!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Hermione","Swish and flick!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Ron","Wingardium Leviosa!  Cool."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Hermione","Is it...dead?"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","I don't think so. Just knocked out.  Ew. Troll bogies."
"Harry Potter and the Philosopher's Stone","Mountain Troll","McGonagall","Oh! Oh, my goodness! E-Explain yourselves, both of you!"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Ron and Harry","Well, what it is..."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Hermione","It's my fault, Professor McGonagall."
"Harry Potter and the Philosopher's Stone","Mountain Troll","McGonagall","Miss Granger?"
"Harry Potter and the Philosopher's Stone","Mountain Troll","Hermione","I went looking for the troll. I'd read about them and thought I could handle it. But I was wrong. If Harry and Ron hadn't come and found me...I'd probably be dead."
"Harry Potter and the Philosopher's Stone","Mountain Troll","McGonagall","Be that as it may be...it was an extremely foolish thing to do.  I would have expected more rational behavior on your part, Miss Granger. Five points will be taken from Gryffindor for your serious lack of judgment.  As for you two gentlemen I just hope you realize how fortunate you are. Not many students could take on a fully grown mountain troll and live to tell the tale. Five points...will be awarded to each of you.  For sheer dumb luck."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Quirrell","Perhaps you ought to go...M-might wake up...heh.  Ahh! Hehe...."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","Good for you to get us out of trouble like that."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Ron","Mind you, I mean, we did save her life."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Harry","Mind you, she didn't need saving if you hadn't insulted her."
"Harry Potter and the Philosopher's Stone","Mountain Troll","Ron","What are friends for?"
"Harry Potter and the Philosopher's Stone","Quidditch","Ron","Take a bit of toast, mate, go on."
"Harry Potter and the Philosopher's Stone","Quidditch","Hermione","Ron's right, Harry. You're gonna need your strength today."
"Harry Potter and the Philosopher's Stone","Quidditch","Harry","I'm not hungry."
"Harry Potter and the Philosopher's Stone","Quidditch","Snape","Good luck today, Potter. Then again, now that you've proven yourself against a troll, a little game of Quidditch should be easy work for you...even if it is against Slytherin."
"Harry Potter and the Philosopher's Stone","Quidditch","Harry","That explains the blood."
"Harry Potter and the Philosopher's Stone","Quidditch","Hermione","Blood?"
"Harry Potter and the Philosopher's Stone","Quidditch","Harry","Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog. But, he got himself bitten, that's why he's limping."
"Harry Potter and the Philosopher's Stone","Quidditch","Hermione","But why would anyone go near that dog?"
"Harry Potter and the Philosopher's Stone","Quidditch","Harry","The day I was at Gringotts, Hagrid took something out of one of the vaults. He said it was Hogwarts' business, very secret."
"Harry Potter and the Philosopher's Stone","Quidditch","Hermione","So you're saying..."
"Harry Potter and the Philosopher's Stone","Quidditch","Harry","That's what the dog's guarding. That's what Snape wants."
"Harry Potter and the Philosopher's Stone","Quidditch","Hermione","Bit early for mail, isn't it?"
"Harry Potter and the Philosopher's Stone","Quidditch","Harry","But I-I never get mail."
